year,imd_decile,ethnic_group,infant_deaths,infant_mortality_rate,rate_unreliable_flag
2008,7,Mixed_or_multiple,3,1.5,True
2008,7,Any_Other_ethnic_group,4,5.7,True
2008,7,White,132,3.1,False
2008,8,Asian,10,4.0,True
2008,8,Black,5,7.0,True
2008,8,Mixed_or_multiple,7,3.8,True
2008,8,Any_Other_ethnic_group,2,,True
2008,8,White,129,3.0,False
2008,9,Asian,8,3.7,True
2008,9,Black,4,6.9,True
2008,9,Mixed_or_multiple,8,4.5,True
2008,9,Any_Other_ethnic_group,0,,True
2008,9,White,133,3.1,False
2008,10,Asian,7,3.6,True
2008,10,Black,2,,True
2008,10,Mixed_or_multiple,8,4.8,True
2008,10,Any_Other_ethnic_group,1,,True
2008,10,White,122,2.9,False
2008,Total,Asian,436,6.5,False
2008,Total,Black,295,8.2,False
2008,Total,Mixed_or_multiple,146,5.3,False
2008,Total,Any_Other_ethnic_group,65,4.5,False
2008,Total,White,1800,3.9,False
2007,1,Asian,161,9.0,False
2007,1,Black,64,6.8,False
2007,1,Mixed_or_multiple,20,4.6,False
2007,1,Any_Other_ethnic_group,17,5.4,True
2007,1,White,307,5.5,False
2007,2,Asian,89,7.1,False
2007,2,Black,81,8.5,False
2007,2,Mixed_or_multiple,32,8.2,False
2007,2,Any_Other_ethnic_group,8,3.0,True
2007,2,White,213,4.3,False
2007,3,Asian,59,6.5,False
2007,3,Black,42,6.6,False
2007,3,Mixed_or_multiple,14,4.0,True
2007,3,Any_Other_ethnic_group,10,4.8,True
2007,3,White,207,4.4,False
2007,4,Asian,41,6.0,False
2007,4,Black,23,6.3,False
2007,4,Mixed_or_multiple,14,5.0,True
2007,4,Any_Other_ethnic_group,7,4.5,True
2007,4,White,177,3.9,False
2007,5,Asian,25,4.6,False
2007,5,Black,13,5.4,True
2007,5,Mixed_or_multiple,13,5.6,True
2007,5,Any_Other_ethnic_group,6,4.9,True
2007,5,White,156,3.5,False
2007,6,Asian,21,5.1,False
2007,6,Black,3,2.3,True
2007,6,Mixed_or_multiple,10,5.1,True
2007,6,Any_Other_ethnic_group,4,4.5,True
2007,6,White,167,3.9,False
2007,7,Asian,15,5.6,True
2007,7,Black,4,4.9,True
2007,7,Mixed_or_multiple,10,5.8,True
2007,7,Any_Other_ethnic_group,5,6.6,True
2007,7,White,129,3.1,False
2007,8,Asian,13,5.3,True
2007,8,Black,3,4.5,True
2007,8,Mixed_or_multiple,1,,True
2007,8,Any_Other_ethnic_group,2,,True
2007,8,White,156,3.7,False
2007,9,Asian,6,3.0,True
2007,9,Black,1,,True
2007,9,Mixed_or_multiple,10,6.4,True
2007,9,Any_Other_ethnic_group,0,,True
2007,9,White,144,3.4,False
